track_name,artist_name,ms_played,minutes_played
Anagram,Young the Giant,294240,4.90
Dead Inside,Muse,262947,4.38
Psycho,Muse,316717,5.28
Mercy,Muse,231973,3.87
Reapers,Muse,359520,5.99
The Handler,Muse,273760,4.56
Defector,Muse,273005,4.55
Revolt,Muse,245711,4.10
Aftermath,Muse,347997,5.80
The Globalist,Muse,607283,10.12
Drones,Muse,169817,2.83
New Problems,Cody Simpson,170109,2.84
What Do You Mean?,Justin Bieber,207546,3.46
Paraíso,Dvicio,179333,2.99
New Problems,Cody Simpson,226306,3.77
Flower,Cody Simpson,181297,3.02
Thotful,Cody Simpson,251160,4.19
New Problems,Cody Simpson,266110,4.44
It Don't Matter (feat. Donavon Frankenreiter),Cody Simpson,128220,2.14
Home To Mama,Justin Bieber,203266,3.39
What Do You Mean?,Justin Bieber,207546,3.46
Backwards,Tame Impala,215248,3.59
Radioactive,Imagine Dragons,256673,4.28
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,321649,5.36
FourFiveSeconds,Rihanna,188238,3.14
Shut Up and Dance,WALK THE MOON,199080,3.32
Shut Up and Dance,WALK THE MOON,199080,3.32
El Amor De Su Vida,Julión Álvarez y su Norteño Banda,219373,3.66
¿Qué Pasa?,Juanes,227666,3.79
Waiting For Love,Avicii,228749,3.81
Mi Tonta Oficial,Par de Ases,156054,2.60
Contigo,Calibre 50,210440,3.51
